epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.4067,1.47881,1.05577,0.97124,0.49913,0.29811,0.31697,0.15994,1.84788,1.62256,1.07593,0.000662879,0.000662879,0.000662879
2,170.137,1.51289,0.89055,0.976,0.65355,0.42833,0.48796,0.2681,1.48013,0.9701,0.96481,0.00131638,0.00131638,0.00131638
3,252.649,1.48439,0.86354,0.96532,0.65306,0.4382,0.4906,0.27624,1.44356,1.09715,0.97134,0.00195669,0.00195669,0.00195669
4,335.108,1.47256,0.84999,0.95996,0.65894,0.45774,0.51188,0.28932,1.43003,1.13302,0.95612,0.0019406,0.0019406,0.0019406
5,417.677,1.41879,0.81191,0.94958,0.71706,0.48195,0.549,0.30905,1.38339,0.82013,0.93944,0.0019208,0.0019208,0.0019208
6,499.798,1.39818,0.78857,0.94239,0.72926,0.48031,0.5548,0.31692,1.3398,0.78967,0.93413,0.001901,0.001901,0.001901
7,581.92,1.37751,0.77311,0.93927,0.70592,0.49,0.56025,0.316,1.35304,0.76123,0.92929,0.0018812,0.0018812,0.0018812
8,664.008,1.35148,0.75194,0.93164,0.73609,0.51341,0.58591,0.3354,1.32505,0.72425,0.92689,0.0018614,0.0018614,0.0018614
9,746.857,1.34065,0.74303,0.92797,0.74655,0.5083,0.57836,0.33534,1.3125,0.72197,0.92919,0.0018416,0.0018416,0.0018416
10,829.388,1.33062,0.73033,0.92519,0.75113,0.5169,0.59291,0.34333,1.28982,0.72335,0.92135,0.0018218,0.0018218,0.0018218
11,911.905,1.31277,0.72319,0.91978,0.76271,0.52377,0.60044,0.35091,1.27289,0.71921,0.91324,0.001802,0.001802,0.001802
12,994.241,1.3045,0.7119,0.91665,0.7647,0.53403,0.61565,0.35771,1.26068,0.68096,0.90779,0.0017822,0.0017822,0.0017822
13,1081.04,1.3003,0.70825,0.91658,0.76521,0.53573,0.61402,0.35931,1.25299,0.68517,0.90718,0.0017624,0.0017624,0.0017624
14,1173.61,1.2898,0.69873,0.91305,0.76843,0.53119,0.61083,0.35901,1.25383,0.6639,0.90664,0.0017426,0.0017426,0.0017426
15,1263.56,1.27674,0.68825,0.91233,0.7818,0.54394,0.62823,0.3692,1.23139,0.64913,0.90295,0.0017228,0.0017228,0.0017228
16,1352.86,1.28125,0.68753,0.9092,0.77239,0.55651,0.63303,0.37506,1.2193,0.66396,0.90092,0.001703,0.001703,0.001703
17,1435.33,1.26268,0.67829,0.90704,0.78379,0.5482,0.62951,0.37214,1.2285,0.65363,0.90277,0.0016832,0.0016832,0.0016832
18,1517.89,1.27226,0.67818,0.90876,0.77971,0.54725,0.6299,0.37428,1.2176,0.64133,0.898,0.0016634,0.0016634,0.0016634
19,1600.22,1.26627,0.67706,0.90794,0.77914,0.56069,0.6365,0.37577,1.22314,0.64435,0.89948,0.0016436,0.0016436,0.0016436
20,1682.7,1.2605,0.67299,0.90639,0.78702,0.55466,0.63638,0.37734,1.21945,0.63572,0.89822,0.0016238,0.0016238,0.0016238
21,1765.11,1.25314,0.66565,0.90379,0.78509,0.55528,0.63698,0.37472,1.22374,0.65367,0.8995,0.001604,0.001604,0.001604
22,1858.44,1.24717,0.66114,0.90426,0.78672,0.55972,0.64217,0.38451,1.19655,0.6206,0.8986,0.0015842,0.0015842,0.0015842
23,1944.01,1.23108,0.64898,0.90046,0.78712,0.55946,0.64035,0.3788,1.21433,0.64004,0.89797,0.0015644,0.0015644,0.0015644
24,2026.23,1.24541,0.65637,0.90167,0.80242,0.56393,0.64844,0.3884,1.19453,0.62278,0.89423,0.0015446,0.0015446,0.0015446
25,2108.48,1.23392,0.65097,0.89911,0.79399,0.56267,0.64447,0.38401,1.19904,0.6208,0.89585,0.0015248,0.0015248,0.0015248
26,2190.56,1.22449,0.64207,0.89925,0.79869,0.57544,0.6556,0.39358,1.18192,0.61133,0.89348,0.001505,0.001505,0.001505
27,2272.98,1.22716,0.64181,0.89644,0.79226,0.57114,0.64789,0.38921,1.18897,0.61885,0.8941,0.0014852,0.0014852,0.0014852
28,2355.44,1.21328,0.63498,0.89492,0.79283,0.57593,0.65503,0.39176,1.18269,0.61482,0.89238,0.0014654,0.0014654,0.0014654
29,2437.6,1.20791,0.62917,0.89362,0.79292,0.57932,0.65787,0.39728,1.17298,0.60362,0.8901,0.0014456,0.0014456,0.0014456
30,2520.05,1.20954,0.62968,0.89373,0.79697,0.57631,0.65907,0.39679,1.17406,0.60495,0.89183,0.0014258,0.0014258,0.0014258
31,2602.35,1.20525,0.62621,0.89326,0.80286,0.57719,0.66163,0.39868,1.16818,0.59955,0.89014,0.001406,0.001406,0.001406
